Log Name,File Name,solfndby,Nodes,Active,LPit/n,IntInf,BestBound,BestSolution,Gap,Time
test13183895.run551.neos-826650.log,neos-826650,,2005621,47829,228.4,88,2.800000e+01,2.900000e+01,3.45%,7200
test13183895.run552.neos-827015.log,neos-827015,,216,0,1137,2762,2.319590e+00,2.319590e+00,0.00%,50.04
test13183895.run553.neos-827175.log,neos-827175,,1,0,0.0,14,1.120015e+02,1.120015e+02,0.00%,2.54
test13183895.run554.neos-829552.log,neos-829552,,133,0,658.1,1839,2.319590e+00,2.319590e+00,0.00%,25.71
test13183895.run555.neos-831188.log,neos-831188,,2348,0,404.4,568,2.613775e+00,2.613775e+00,0.00%,47.14
test13183895.run556.neos-848589.log,neos-848589,,35,0,867.7,5,2.351403e+03,2.351403e+03,0.00%,139
test13183895.run557.neos-850681.log,neos-850681,,128,0,56.7,96,2.472000e+03,2.472000e+03,0.00%,2.06
test13183895.run558.neos859080.log,neos859080,,1000,264,2.2,1,2.000000e+00,--,Inf,0.18
test13183895.run559.neos-859770.log,neos-859770,,1,0,8153,58,1.000000e+30,--,0.00%,2.77
test13183895.run560.neos-860300.log,neos-860300,,1,0,7352,260,3.201000e+03,3.201000e+03,0.00%,3.12
test13183895.run561.neos-872648.log,neos-872648,,158632,0,30.3,13,4.860791e+01,4.860791e+01,0.00%,472
test13183895.run562.neos-873061.log,neos-873061,,135818,0,39.9,51,1.136562e+02,1.136562e+02,0.00%,516
test13183895.run563.neos-876808.log,neos-876808,,3265,0,3740,1929,1.697953e+05,1.697953e+05,0.00%,1931
test13183895.run564.neos-885086.log,neos-885086,,1,0,0.0,47,-2.430000e+02,-2.430000e+02,0.00%,0.71
test13183895.run565.neos-885524.log,neos-885524,,2,0,320.0,0,1.232009e+04,1.232009e+04,0.00%,5.10
test13183895.run566.neos8.log,neos8,,1,0,10.0,0,-3.719000e+03,-3.719000e+03,0.00%,1.13
test13183895.run567.neos-911970.log,neos-911970,,90181490,19938555,13.7,14,5.473780e+01,5.476000e+01,0.04%,7200
test13183895.run568.neos-913984.log,neos-913984,,1,0,0.0,98,1.000000e+03,1.000000e+03,0.00%,29.00
test13183895.run569.neos-914441.log,neos-914441,,139,0,4115,30,9.347772e+06,9.347772e+06,0.00%,12.29
test13183895.run570.neos-932721.log,neos-932721,,1,0,0.0,156,5.203000e+04,5.203000e+04,0.00%,0.28
test13183895.run571.neos-933562.log,neos-933562,,5773784,0,34.1,179,1.800000e+01,1.800000e+01,0.00%,4314
test13183895.run572.neos-933638.log,neos-933638,,17,0,4094,63,2.760000e+02,2.760000e+02,0.00%,34.29
test13183895.run573.neos-933966.log,neos-933966,,159,0,921.5,229,3.180000e+02,3.180000e+02,0.00%,37.52
test13183895.run574.neos-935234.log,neos-935234,,37470,0,733.4,511,2.432000e+03,2.432000e+03,0.00%,1835
test13183895.run575.neos-935769.log,neos-935769,,550,0,1303,18,3.010000e+03,3.010000e+03,0.00%,118
test13183895.run576.neos-941313.log,neos-941313,,383,0,1256,340,9.361000e+03,9.361000e+03,0.00%,287
test13183895.run577.neos-948346.log,neos-948346,,1148,0,3848,233,-2.276000e+02,-2.276000e+02,0.00%,1059
test13183895.run578.neos-950242.log,neos-950242,,1,0,3949,286,4.000000e+00,4.000000e+00,0.00%,2.75
test13183895.run579.neos-952987.log,neos-952987,,1342,780,11012,1811,3.331934e+03,--,Inf,7200
test13183895.run580.neos-953928.log,neos-953928,,255,0,203.5,253,-9.990444e+01,-9.990444e+01,0.00%,17.85
test13183895.run581.neos-954925.log,neos-954925,,134421,8205,207.5,35,-2.377700e+02,-2.377689e+02,0.00%,7200
test13183895.run582.neos-956971.log,neos-956971,,116421,147,184.6,219,-2.377700e+02,-2.377689e+02,0.00%,7200
test13183895.run583.neos-957143.log,neos-957143,,289180,785,109.7,0,-2.377700e+02,-2.377689e+02,0.00%,7200
test13183895.run584.neos-957323.log,neos-957323,,85,0,114.1,46,-2.377567e+02,-2.377567e+02,0.00%,14.28
test13183895.run585.neos-960392.log,neos-960392,,1,0,0.0,866,-2.380000e+02,-2.380000e+02,0.00%,7.38
test13183895.run586.neos-983171.log,neos-983171,,59100,5386,2125,516,2.359500e+03,2.360000e+03,0.02%,7200
test13183895.run587.neos9.log,neos9,,2,0,7199,0,7.980000e+02,7.980000e+02,0.00%,7.85
test13183895.run588.net12.log,net12,,1,1,0.0,366,2.140000e+02,2.140000e+02,0.00%,1.30
test13183895.run589.netdiversion.log,netdiversion,,18,0,3115,4106,2.420000e+02,2.420000e+02,0.00%,89.86
test13183895.run590.newdano.log,newdano,,966148,0,76.4,22,6.566667e+01,6.566667e+01,0.00%,574
test13183895.run591.nexp-150-20-1-5.log,nexp-150-20-1-5,,1,0,1187,1,6.600000e+01,6.600000e+01,0.00%,0.54
test13183895.run592.nexp-150-20-8-5.log,nexp-150-20-8-5,,1343,0,584.3,91,2.310000e+02,2.310000e+02,0.00%,73.03
test13183895.run593.nexp-50-20-1-1.log,nexp-50-20-1-1,,1,0,370.0,8,2.900000e+01,2.900000e+01,0.00%,0.15
test13183895.run594.nexp-50-20-4-2.log,nexp-50-20-4-2,,1,0,1568,20,7.100000e+01,7.100000e+01,0.00%,0.34
test13183895.run595.nh97_potential.log,nh97_potential,,2620,0,150.5,38,1.418000e+03,1.418000e+03,0.00%,10.59
test13183895.run596.nh97_tension.log,nh97_tension,,4416,0,22.9,78,1.418000e+03,1.418000e+03,0.00%,3.85
test13183895.run597.no-ip-64999.log,no-ip-64999,,22009,0,45.1,120,1.000000e+30,--,0.00%,15.59
test13183895.run598.no-ip-65059.log,no-ip-65059,,8091,0,64.3,186,1.000000e+30,--,0.00%,7.56
test13183895.run599.noswot.log,noswot,,1727382,0,5.4,7,-4.100000e+01,-4.100000e+01,0.00%,56.19
test13183895.run600.npmv07.log,npmv07,,30,0,27.3,0,1.048098e+11,1.048098e+11,0.00%,16.39
test13183895.run601.ns1111636.log,ns1111636,,5725,1042,4209,80,1.562675e+02,1.700000e+02,8.08%,7200
test13183895.run602.ns1116954.log,ns1116954,,1,1,25054,633,0.000000e+00,0.000000e+00,0.00%,48.94
test13183895.run603.ns1208400.log,ns1208400,,3,4,1093,300,2.000000e+00,2.000000e+00,0.00%,4.25
test13183895.run604.ns1430538.log,ns1430538,,9820,3220,5055,68,7.735782e+01,9.000000e+01,14.0%,7200
test13183895.run605.ns1644855.log,ns1644855,,727,0,5672,590,-1.524333e+03,-1.524333e+03,0.00%,1586
test13183895.run606.ns1760995.log,ns1760995,,275,0,2543,126,-5.492144e+02,-5.492144e+02,0.00%,453
test13183895.run607.ns1830653.log,ns1830653,,2949,0,130.5,119,2.062200e+04,2.062200e+04,0.00%,9.74
test13183895.run608.ns1952667.log,ns1952667,,3326,0,5.6,32,0.000000e+00,0.000000e+00,0.00%,25.58
test13183895.run609.ns2034125.log,ns2034125,,2,1,2360,59,1.899515e+05,1.900210e+05,0.04%,7200
test13183895.run610.ns2071214.log,ns2071214,,3416827,0,10.5,8,5.070000e+02,5.070000e+02,0.00%,933
test13183895.run611.ns4-pr6.log,ns4-pr6,,1,0,394.0,0,2.931400e+04,2.931400e+04,0.00%,0.19
test13183895.run612.nsa.log,nsa,,515,0,22.0,1,1.200000e+02,1.200000e+02,0.00%,0.36
test13183895.run613.nsrand-ipx.log,nsrand-ipx,,44578,0,66.1,90,5.120000e+04,5.120000e+04,0.00%,118
test13183895.run614.nu120-pr12.log,nu120-pr12,,470,0,38.9,10,4.221500e+04,4.221500e+04,0.00%,2.08
test13183895.run615.nu120-pr9.log,nu120-pr9,,133883,0,410.2,565,2.494500e+04,2.494500e+04,0.00%,1870
test13183895.run616.nu25-pr12.log,nu25-pr12,,570,0,10.9,16,5.390500e+04,5.390500e+04,0.00%,1.55
test13183895.run617.nu4-pr9.log,nu4-pr9,,14195,0,62.9,176,3.552000e+04,3.552000e+04,0.00%,35.64
test13183895.run618.nursesched-medium04.log,nursesched-medium04,,606,0,871.0,31,2.370000e+02,2.370000e+02,0.00%,132
test13183895.run619.nursesched-medium-hint03.log,nursesched-medium-hint03,,24316,13449,1470,1287,9.871853e+01,4.150000e+02,76.2%,7200
test13183895.run620.nursesched-sprint02.log,nursesched-sprint02,,1,0,12242,0,5.800000e+01,5.800000e+01,0.00%,4.71
test13183895.run621.nursesched-sprint-hidden09.log,nursesched-sprint-hidden09,,7,0,4396,189,3.380000e+02,3.380000e+02,0.00%,13.34
test13183895.run622.nursesched-sprint-late03.log,nursesched-sprint-late03,,143,0,549.8,487,4.800000e+01,4.800000e+01,0.00%,21.55
test13183895.run623.nw04.log,nw04,,1,0,264.0,7,1.686200e+04,1.686200e+04,0.00%,1.81
test13183895.run624.ofi2.log,ofi2,,83665,26611,99.9,718,6.130903e+09,3.196893e+10,80.8%,7200
test13183895.run625.ofi.log,ofi,,142735,1026,9.7,2,6.155384e+09,6.155384e+09,0.00%,7200
test13183895.run626.oocsp-racks030e6cci.log,oocsp-racks030e6cci,,1,0,0.0,0,0.000000e+00,0.000000e+00,0.00%,3.73
test13183895.run628.opm2-z10-s4.log,opm2-z10-s4,,8239,0,605.2,3345,-3.326900e+04,-3.326900e+04,0.00%,4827
test13183895.run629.opm2-z12-s8.log,opm2-z12-s8,,3750,1101,884.6,6843,-6.679408e+04,-5.488200e+04,17.8%,7200
test13183895.run630.opm2-z6-s1.log,opm2-z6-s1,,657,0,90.4,2,-6.202000e+03,-6.202000e+03,0.00%,13.91
test13183895.run631.opm2-z7-s8.log,opm2-z7-s8,,972,0,83.1,2,-1.124200e+04,-1.124200e+04,0.00%,25.55
test13183895.run632.opm2-z8-s0.log,opm2-z8-s0,,1218,0,257.7,3,-1.577500e+04,-1.577500e+04,0.00%,153
test13183895.run633.opt1217.log,opt1217,,1,0,701.0,9,-1.600000e+01,-1.600000e+01,0.00%,0.14
test13183895.run634.osorio-cta.log,osorio-cta,,7,0,92.6,2,2.893920e-02,2.893920e-02,0.00%,0.61
test13183895.run635.p0201.log,p0201,,53,0,10.1,28,7.615000e+03,7.615000e+03,0.00%,0.07
test13183895.run636.p200x1188c.log,p200x1188c,,1,0,675.0,0,1.507800e+04,1.507800e+04,0.00%,0.51
test13183895.run638.p500x2988c.log,p500x2988c,,1,0,231.0,0,1.521500e+04,1.521500e+04,0.00%,0.64
test13183895.run639.p500x2988d.log,p500x2988d,,1,0,475.0,17,6.000000e+00,6.000000e+00,0.00%,0.48
test13183895.run640.p500x2988.log,p500x2988,,3358,0,16.0,2,7.183600e+04,7.183600e+04,0.00%,13.15
test13183895.run641.pb-fit2d.log,pb-fit2d,,25008,0,27.6,56,-2.042500e+04,-2.042500e+04,0.00%,660
test13183895.run642.peg-solitaire-a3.log,peg-solitaire-a3,,1278,0,907.0,122,1.000000e+00,1.000000e+00,0.00%,68.04
test13183895.run643.pg5_34.log,pg5_34,,115497,0,29.1,2,-1.433935e+04,-1.433935e+04,0.00%,129
test13183895.run644.pg.log,pg,,1382,0,87.1,2,-8.674343e+03,-8.674343e+03,0.00%,3.96
test13183895.run645.physiciansched3-3.log,physiciansched3-3,,53759,0,1313,789,2.623271e+06,2.623271e+06,0.00%,5444
test13183895.run646.physiciansched3-4.log,physiciansched3-4,,40867,3333,4371,823,1.470472e+06,1.493856e+06,1.57%,7200
test13183895.run647.physiciansched5-3.log,physiciansched5-3,,1515963,574525,352.0,197,2.088967e+04,2.110000e+04,1.00%,7200
test13183895.run648.physiciansched6-1.log,physiciansched6-1,,1183,0,1080,153,2.850100e+04,2.850100e+04,0.00%,98.19
test13183895.run649.physiciansched6-2.log,physiciansched6-2,,1,0,0.0,96,4.932400e+04,4.932400e+04,0.00%,1.22
test13183895.run650.pigeon-08.log,pigeon-08,,311,0,4.7,6,-7.000000e+03,-7.000000e+03,0.00%,0.08
test13183895.run651.pigeon-10.log,pigeon-10,,195,0,6.7,2,-9.000000e+03,-9.000000e+03,0.00%,0.09
test13183895.run652.pigeon-13.log,pigeon-13,,301,0,5.3,4,-1.200000e+04,-1.200000e+04,0.00%,0.13
test13183895.run653.pigeon-16.log,pigeon-16,,703,0,8.9,2,-1.500000e+04,-1.500000e+04,0.00%,0.26
test13183895.run654.pigeon-20.log,pigeon-20,,1194,0,10.6,2,-1.900000e+04,-1.900000e+04,0.00%,0.50
test13183895.run655.piperout-03.log,piperout-03,,1,0,63.0,0,7.498200e+04,7.498200e+04,0.00%,1.86
test13183895.run656.piperout-08.log,piperout-08,,1,0,1758,23,1.250550e+05,1.250550e+05,0.00%,2.44
test13183895.run657.piperout-27.log,piperout-27,,1,0,178.0,77,8.124000e+03,8.124000e+03,0.00%,2.57
test13183895.run658.piperout-d20.log,piperout-d20,,1,0,0.0,162,2.994800e+04,2.994800e+04,0.00%,2.31
test13183895.run659.piperout-d27.log,piperout-d27,,1,0,35.0,39,8.124000e+03,8.124000e+03,0.00%,2.42
test13183895.run660.pk1.log,pk1,,182480,0,8.9,12,1.100000e+01,1.100000e+01,0.00%,22.98
test13183895.run661.ponderthis0517-inf.log,ponderthis0517-inf,,1086,396,11.6,35,1.000000e+30,--,0.00%,0.57
test13183895.run662.probportfolio.log,probportfolio,,40902553,5013660,19.6,45,1.338634e+01,1.687626e+01,20.7%,7200
test13183895.run663.prod1.log,prod1,,36864,0,7.1,21,-5.600000e+01,-5.600000e+01,0.00%,5.30
test13183895.run664.prod2.log,prod2,,94778,0,11.5,19,-6.200000e+01,-6.200000e+01,0.00%,15.10
test13183895.run665.proteindesign121hz512p9.log,proteindesign121hz512p9,,185570,0,155.3,418,1.473000e+03,1.473000e+03,0.00%,5583
test13183895.run666.proteindesign121pgb11p9.log,proteindesign121pgb11p9,,61673,0,121.3,204,1.209000e+03,1.209000e+03,0.00%,1951
test13183895.run667.proteindesign122trx11p8.log,proteindesign122trx11p8,,28337,0,172.7,237,1.747000e+03,1.747000e+03,0.00%,1063
test13183895.run668.pw-myciel4.log,pw-myciel4,,15400,102,75.5,97,1.000000e+01,1.000000e+01,0.00%,14.30
test13183895.run669.pythago7824.log,pythago7824,,223004,18370,817.3,930,0.000000e+00,--,Inf,7200
test13183895.run670.qap10.log,qap10,,4,0,2987,1250,3.400000e+02,3.400000e+02,0.00%,4.60
test13183895.run671.qiu.log,qiu,,8021,0,40.2,23,-1.328731e+02,-1.328731e+02,0.00%,7.34
test13183895.run672.qnet1.log,qnet1,,30,0,150.0,7,1.602969e+04,1.602969e+04,0.00%,0.83
test13183895.run673.qnet1_o.log,qnet1_o,,7,0,225.6,26,1.602969e+04,1.602969e+04,0.00%,0.70
test13183895.run674.queens-30.log,queens-30,,278812,241320,63.4,192,-6.807817e+01,-3.900000e+01,42.7%,7200
test13183895.run675.r50x360.log,r50x360,,395,0,284.4,90,1.653000e+03,1.653000e+03,0.00%,3.78
test13183895.run676.radiationm18-12-05.log,radiationm18-12-05,,38841,0,131.1,14,1.756600e+04,1.756600e+04,0.00%,104
test13183895.run677.radiationm40-10-02.log,radiationm40-10-02,,2403322,2809,74.4,2067,1.553260e+05,1.553320e+05,0.00%,7200
test13183895.run678.rail01.log,rail01,,45,0,6199,4767,-7.056996e+01,-7.056996e+01,0.00%,250
test13183895.run679.rail02.log,rail02,,284,0,4254,2349,-2.004499e+02,-2.004499e+02,0.00%,374
test13183895.run680.rail03.log,rail03,,0,1,--,0,-1.729755e+04,--,Inf,18.57
test13183895.run681.rail507.log,rail507,,1931,0,232.1,193,1.740000e+02,1.740000e+02,0.00%,51.11
test13183895.run682.railway_8_1_0.log,railway_8_1_0,,5493,0,19.7,54,4.000000e+02,4.000000e+02,0.00%,4.14
test13183895.run683.ran12x21.log,ran12x21,,1886,0,106.2,39,3.664000e+03,3.664000e+03,0.00%,5.44
test13183895.run684.ran13x13.log,ran13x13,,1677,0,79.1,37,3.252000e+03,3.252000e+03,0.00%,3.49
test13183895.run685.ran14x18-disj-8.log,ran14x18-disj-8,,40266,0,86.8,62,3.712000e+03,3.712000e+03,0.00%,109
test13183895.run686.rd-rplusc-21.log,rd-rplusc-21,,33857,0,10.1,31,1.653953e+05,1.653953e+05,0.00%,34.88
test13183895.run687.reblock115.log,reblock115,,1170596,0,16.2,168,-3.680060e+07,-3.680060e+07,0.00%,570
test13183895.run688.reblock166.log,reblock166,,69327,0,13.5,21,-6.000522e+08,-6.000522e+08,0.00%,44.27
test13183895.run689.reblock354.log,reblock354,,5086638,1928996,32.3,68,-3.934914e+07,-3.920048e+07,0.38%,7200
test13183895.run690.reblock420.log,reblock420,,272737,0,13.4,142,-5.177925e+08,-5.177925e+08,0.00%,292
test13183895.run691.rentacar.log,rentacar,,34,0,68.6,0,3.035676e+07,3.035676e+07,0.00%,0.46
test13183895.run692.rlp1.log,rlp1,,171161624,253094,6.5,18,1.400000e+01,1.500000e+01,6.67%,7200
test13183895.run693.rmatr100-p10.log,rmatr100-p10,,785,0,152.9,51,4.230000e+02,4.230000e+02,0.00%,7.44
test13183895.run694.rmatr100-p5.log,rmatr100-p5,,822,0,226.6,35,9.760000e+02,9.760000e+02,0.00%,36.93
test13183895.run695.rmatr200-p10.log,rmatr200-p10,,63965,11415,617.8,70,1.919486e+03,2.017000e+03,4.83%,7200
test13183895.run696.rmatr200-p20.log,rmatr200-p20,,257532,32657,305.1,67,8.112256e+02,8.370000e+02,3.08%,7200
test13183895.run697.rmatr200-p5.log,rmatr200-p5,,25547,0,721.8,37,4.521000e+03,4.521000e+03,0.00%,4267
test13183895.run698.rocI-3-11.log,rocI-3-11,,7748,0,64.5,52,-5.030300e+04,-5.030300e+04,0.00%,9.53
test13183895.run699.rocI-4-11.log,rocI-4-11,,82651,0,62.7,48,-6.020203e+06,-6.020203e+06,0.00%,84.20
test13183895.run700.rocII-5-11.log,rocII-5-11,,182740,0,28.8,74,-6.675505e+00,-6.675505e+00,0.00%,403
test13183895.run701.rococoB10-011000.log,rococoB10-011000,,179361,0,406.5,673,1.944900e+04,1.944900e+04,0.00%,2460
test13183895.run702.rococoC10-001000.log,rococoC10-001000,,7112,0,311.1,365,1.146000e+04,1.146000e+04,0.00%,65.24
test13183895.run703.rococoC11-010100.log,rococoC11-010100,,70557,3301,2120,1368,1.954905e+04,2.088900e+04,6.41%,7200
test13183895.run704.rococoC11-011100.log,rococoC11-011100,,99102,0,1000,810,2.088900e+04,2.088900e+04,0.00%,3579
test13183895.run705.rococoC12-010001.log,rococoC12-010001,,65244,9273,1733,100,3.268945e+04,3.478500e+04,6.02%,7200
test13183895.run706.roi2alpha3n4.log,roi2alpha3n4,,2895,0,141.2,167,-6.320849e+01,-6.320849e+01,0.00%,54.44
test13183895.run707.roi5alpha10n8.log,roi5alpha10n8,,17268,0,742.0,501,-5.232227e+01,-5.232227e+01,0.00%,1896
test13183895.run708.roll3000.log,roll3000,,1544,0,118.7,114,1.289000e+04,1.289000e+04,0.00%,9.66
test13183895.run709.rout.log,rout,,2789,0,45.8,36,1.077560e+03,1.077560e+03,0.00%,1.71
test13183895.run710.rpp22falsei.log,rpp22falsei,,3824,0,129.9,47,0.000000e+00,0.000000e+00,0.00%,18.68
test13183895.run711.rvb-sub.log,rvb-sub,,727905,5943,44.5,32,1.239556e+01,1.690389e+01,26.7%,7200
test13183895.run712.s100.log,s100,,13811,199,4225,284,-1.702228e-01,-1.697235e-01,0.29%,7200
test13183895.run713.s1234.log,s1234,,35965,6901,5429,1859,1.675256e+01,2.900000e+01,42.2%,7200
test13183895.run714.s250r10.log,s250r10,,385,0,223.0,29,-1.717804e-01,-1.717804e-01,0.00%,92.47
test13183895.run715.s55.log,s55,,1,0,0.0,6,-2.215177e+01,-2.215177e+01,0.00%,5.98
test13183895.run716.satellites2-25.log,satellites2-25,,690,0,581.6,1055,-1.900000e+01,-1.900000e+01,0.00%,81.45
test13183895.run717.satellites2-40.log,satellites2-40,,1492,0,501.6,907,-1.900000e+01,-1.900000e+01,0.00%,160
test13183895.run718.satellites2-60-fs.log,satellites2-60-fs,,1734,0,444.4,461,-1.900000e+01,-1.900000e+01,0.00%,110
test13183895.run719.satellites3-25.log,satellites3-25,,2879,116,4001,937,-3.400000e+01,-2.500000e+01,26.5%,7200
test13183895.run720.satellites4-25.log,satellites4-25,,383,141,15603,1899,-3.583491e+01,6.000000e+00,116.7%,7200
test13183895.run721.savsched1.log,savsched1,,1,0,23737,0,3.217700e+03,3.217700e+03,0.00%,110
test13183895.run722.sct2.log,sct2,,27326,0,273.4,27,-2.309892e+02,-2.309892e+02,0.00%,88.16
test13183895.run723.sct31.log,sct31,,2220685,0,44.2,60,-2.931709e+01,-2.931709e+01,0.00%,2964
test13183895.run724.sct32.log,sct32,,1523772,137087,98.8,61,-1.797154e+01,-1.780466e+01,0.93%,7200
test13183895.run725.set3-10.log,set3-10,,1323130,334316,223.2,35,1.203792e+05,1.968989e+05,38.9%,7200
test13183895.run726.set3-15.log,set3-15,,1484751,354019,219.2,78,8.747419e+04,1.259526e+05,30.5%,7200
test13183895.run727.set3-20.log,set3-20,,1569207,503114,205.3,106,1.070719e+05,1.660756e+05,35.5%,7200
test13183895.run728.seymour1.log,seymour1,,977,0,320.7,1,4.107637e+02,4.107637e+02,0.00%,9.24
test13183895.run729.seymour.log,seymour,,185095,0,323.3,408,4.230000e+02,4.230000e+02,0.00%,1783
test13183895.run730.shiftreg1-4.log,shiftreg1-4,,25986,0,130.6,169,1.326697e+02,1.326697e+02,0.00%,105
test13183895.run731.shiftreg2-7.log,shiftreg2-7,,1747732,217774,164.4,156,2.302443e+02,2.306241e+02,0.16%,7200
test13183895.run732.shipschedule3shipsi.log,shipschedule3shipsi,,48,0,48.0,13,-2.656500e+05,-2.656500e+05,0.00%,1.04
test13183895.run733.shipschedule6shipsmixi.log,shipschedule6shipsmixi,,125,0,160.1,24,-3.016500e+05,-3.016500e+05,0.00%,2.14
test13183895.run734.shipschedule8shipsmixuci.log,shipschedule8shipsmixuci,,3253,0,73.6,386,-3.891000e+05,-3.891000e+05,0.00%,4.63
test13183895.run735.shs1023.log,shs1023,,1662,1258,5918,149,1.306365e+04,1.344623e+04,2.85%,7200
test13183895.run736.sing326.log,sing326,,60820,0,33.8,1160,7.753675e+06,7.753675e+06,0.00%,878
test13183895.run737.sing44.log,sing44,,139901,0,24.2,199,8.128831e+06,8.128831e+06,0.00%,2307
test13183895.run738.snip10x10-35r1budget17.log,snip10x10-35r1budget17,,6042,1266,12438,20,6.699180e+01,7.230869e+01,7.35%,7200
test13183895.run739.snp-02-004-104.log,snp-02-004-104,,178958,0,1.1,7,5.868032e+08,5.868032e+08,0.00%,3559
test13183895.run740.sorrell3.log,sorrell3,,284815,0,126.1,105,-1.600000e+01,-1.600000e+01,0.00%,2543
test13183895.run741.sorrell4.log,sorrell4,,25373,8453,663.4,132,-3.275889e+01,-2.300000e+01,29.8%,7200
test13183895.run742.sorrell8.log,sorrell8,,1998875,491328,138.6,387,-3.654536e+02,-3.490000e+02,4.50%,7200
test13183895.run743.sp150x300d.log,sp150x300d,,1,0,412.0,12,6.900000e+01,6.900000e+01,0.00%,0.23
test13183895.run744.sp97ar.log,sp97ar,,24735,0,139.4,207,6.607056e+08,6.607056e+08,0.00%,229
test13183895.run745.sp97ic.log,sp97ic,,73360,0,84.8,96,4.276845e+08,4.276845e+08,0.00%,419
test13183895.run746.sp98ar.log,sp98ar,,20262,0,128.0,177,5.297406e+08,5.297406e+08,0.00%,178
test13183895.run747.sp98ic.log,sp98ic,,5932,0,111.8,73,4.491448e+08,4.491448e+08,0.00%,63.81
test13183895.run748.sp98ir.log,sp98ir,,2623,0,55.8,75,2.196768e+08,2.196768e+08,0.00%,8.14
test13183895.run749.splice1k1i.log,splice1k1i,,12749,1893,761.7,3639,-1.452000e+03,-3.500000e+02,75.9%,7200
test13183895.run750.splice1k1.log,splice1k1,,1,1,11215,1844,-3.940000e+02,-3.940000e+02,0.00%,78.78
test13183895.run751.square23.log,square23,,52,0,436.2,209,1.300000e+01,1.300000e+01,0.00%,5.85
test13183895.run752.square31.log,square31,,2469,0,386.7,350,1.500000e+01,1.500000e+01,0.00%,221
test13183895.run753.square37.log,square37,,6253,0,758.6,329,1.500000e+01,1.500000e+01,0.00%,1284
test13183895.run754.square41.log,square41,,5674,0,954.1,640,1.500000e+01,1.500000e+01,0.00%,2438
test13183895.run755.square47.log,square47,,6151,170,1658,230,1.041480e+01,1.600000e+01,34.9%,7200
test13183895.run756.stein15inf.log,stein15inf,,27,0,5.6,14,1.000000e+30,--,0.00%,0.10
test13183895.run757.stein45inf.log,stein45inf,,948,0,10.4,34,1.000000e+30,--,0.00%,0.19
test13183895.run758.stein9inf.log,stein9inf,,1,0,37.0,6,1.000000e+30,--,0.00%,0.05
test13183895.run759.stoch-vrpvrp-s5v2c8vrp-v2c8i.log,stoch-vrpvrp-s5v2c8vrp-v2c8i,,15957546,3049835,19.8,196,2.017500e+02,3.300000e+02,38.9%,7200
test13183895.run760.stp3d.log,stp3d,,766,208,14493,2756,4.842544e+02,--,Inf,7200
test13183895.run761.supportcase10.log,supportcase10,,776,0,18614,4719,7.000000e+00,7.000000e+00,0.00%,3542
test13183895.run762.supportcase11.log,supportcase11,,1,0,0.0,0,-1.428200e+01,-1.428200e+01,0.00%,1380
test13183895.run763.supportcase12.log,supportcase12,,55100,17408,1559,51,-7.559533e+03,-7.550859e+03,0.11%,7200
test13183895.run764.supportcase14.log,supportcase14,,1,0,85.0,20,2.880000e+02,2.880000e+02,0.00%,0.05
test13183895.run765.supportcase16.log,supportcase16,,1,0,50.0,12,2.880000e+02,2.880000e+02,0.00%,0.04
test13183895.run766.supportcase17.log,supportcase17,,2642,0,69.0,223,1.330000e+03,1.330000e+03,0.00%,8.71
test13183895.run767.supportcase18.log,supportcase18,,63,0,114.4,85,4.800000e+01,4.800000e+01,0.00%,3.91
test13183895.run768.supportcase19.log,supportcase19,,191,181,1313,1202,1.267721e+07,--,Inf,7200
test13183895.run769.supportcase1.log,supportcase1,,1,1,96262,9653,2.430795e+04,--,Inf,28461
test13183895.run770.supportcase20.log,supportcase20,,1742299,395399,13.5,151,4.512807e+04,4.559300e+04,1.02%,7200
test13183895.run771.supportcase21i.log,supportcase21i,,544,1,4.0,0,2.000000e+01,2.000000e+01,0.00%,6.40
test13183895.run772.supportcase22.log,supportcase22,,158,131,12289,2971,7.803340e-01,--,Inf,7200
test13183895.run773.supportcase25.log,supportcase25,,273669,0,103.1,86,4.829282e-02,4.829282e-02,0.00%,1395
test13183895.run774.supportcase26.log,supportcase26,,675679,0,13.9,18,1.745124e+03,1.745124e+03,0.00%,198
test13183895.run775.supportcase27i.log,supportcase27i,,3444,0,44.5,254,1.330000e+03,1.330000e+03,0.00%,13.40
test13183895.run776.supportcase28i.log,supportcase28i,,544,1,3.9,0,2.000000e+01,2.000000e+01,0.00%,9.72
test13183895.run777.supportcase29.log,supportcase29,,1,0,94843,182,1.000000e+30,--,0.00%,34.48
test13183895.run778.supportcase33.log,supportcase33,,2486,0,36.7,54,-3.450000e+02,-3.450000e+02,0.00%,15.38
test13183895.run779.supportcase34.log,supportcase34,,8676,0,205.9,161,8.400000e+01,8.400000e+01,0.00%,90.27
test13183895.run780.supportcase37.log,supportcase37,,25,0,6207,36,-1.048960e+03,-1.048960e+03,0.00%,50.11
test13183895.run781.supportcase3.log,supportcase3,,1,1,5828,1285,0.000000e+00,0.000000e+00,0.00%,2.40
test13183895.run782.supportcase40.log,supportcase40,,23935,0,261.1,6,2.425631e+04,2.425631e+04,0.00%,280
test13183895.run783.supportcase42.log,supportcase42,,59092,0,2.7,181,7.758631e+00,7.758631e+00,0.00%,177
test13183895.run784.supportcase43.log,supportcase43,,1,0,0.0,0,0.000000e+00,0.000000e+00,0.00%,4.32
test13183895.run785.supportcase4.log,supportcase4,,1,1,5808,693,0.000000e+00,0.000000e+00,0.00%,1.73
